127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.001125
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001534
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000315
127.0.0.1, 2013-04-18 21:56:32, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000959
127.0.0.1, 2013-04-18 21:56:32, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000484
127.0.0.1, 2013-04-18 21:56:32, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000695
127.0.0.1, 2013-04-18 21:56:34, GET, /project/default/downm/0/65, HTTP/1.1, 200, 0.132745
127.0.0.1, 2013-04-18 21:56:38, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.037519
127.0.0.1, 2013-04-18 21:56:41, GET, /project/default/downm/2/65, HTTP/1.1, 200, 0.043736
127.0.0.1, 2013-04-18 21:57:26, GET, /project/default/dev/65, HTTP/1.1, 200, 0.047476
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000761
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.002086
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000560
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.002418
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.001197
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.003248
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000815
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.001472
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000842
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000478
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002292
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000271
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000621
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000681
127.0.0.1, 2013-04-18 21:57:26, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000435
127.0.0.1, 2013-04-18 21:57:27, GET, /project/default/downm/0/65, HTTP/1.1, 200, 0.042143
127.0.0.1, 2013-04-18 21:57:31, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.039970
127.0.0.1, 2013-04-18 21:57:33, GET, /project/default/downm/2/65, HTTP/1.1, 200, 0.040819
127.0.0.1, 2013-04-18 22:00:52, GET, /project/default/user1/65, HTTP/1.1, 500, 0.106146
127.0.0.1, 2013-04-18 22:00:54, GET, /project/default/dev/65, HTTP/1.1, 200, 0.061979
127.0.0.1, 2013-04-18 22:01:00, GET, /project/default/user1/65, HTTP/1.1, 500, 0.066564
127.0.0.1, 2013-04-18 22:01:02, GET, /project/default/dev/65, HTTP/1.1, 200, 0.082056
127.0.0.1, 2013-04-18 22:06:20, GET, /project/default/user1/65, HTTP/1.1, 500, 0.057563
127.0.0.1, 2013-04-18 22:06:34, GET, /admin/default/ticket/project/127.0.0.1.2013-04-18.22-06-20.c42f3c22-f73a-4c51-beda-9c7f05c5d4b9, HTTP/1.1, 200, 0.057183
127.0.0.1, 2013-04-18 22:08:20, GET, /project/default/dev/65, HTTP/1.1, 200, 0.048025
127.0.0.1, 2013-04-18 22:08:20, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2013-04-18 22:08:23, GET, /project/default/user1/65, HTTP/1.1, 500, 0.046282
127.0.0.1, 2013-04-18 22:08:25, GET, /admin/default/ticket/project/127.0.0.1.2013-04-18.22-08-23.c2d823ca-7846-4720-b362-01330d73c74f, HTTP/1.1, 200, 0.045065
127.0.0.1, 2013-04-18 22:08:37, GET, /project/default/user1/65, HTTP/1.1, 200, 0.057539
